0 0 0 0 0 0 0 0 0,0,13.199999999999985
0 0 0 0 0 0 0 0 0,1,1.7999999999999998
0 0 0 0 0 0 0 0 0,2,5.200000000000002
0 0 0 0 0 0 0 0 0,3,1.9999999999999998
0 0 0 0 0 0 0 0 0,4,2.4
0 0 0 0 0 0 0 0 0,5,5.551115123125783e-17
0 0 0 0 0 0 0 0 0,6,1.9999999999999998
0 0 0 0 0 0 0 0 0,7,1.7999999999999998
0 0 0 0 0 0 0 0 0,8,1.2
0 0 0 1 0 0 0 -1 0,0,0.8
0 0 0 1 0 0 0 -1 0,1,1.0
0 0 0 1 0 0 0 -1 0,2,1.0
0 0 0 1 0 0 0 -1 0,4,1.0
0 0 0 1 0 0 0 -1 0,5,1.0
0 0 0 1 0 0 0 -1 0,6,1.0
0 0 0 1 0 0 0 -1 0,8,1.2
0 -1 0 1 0 0 0 -1 1,0,1.0
0 -1 0 1 0 0 0 -1 1,2,1.0
0 -1 0 1 0 0 0 -1 1,4,1.0
0 -1 0 1 0 0 0 -1 1,5,1.0
0 -1 0 1 0 0 0 -1 1,6,1.0
0 -1 0 1 0 -1 1 -1 1,0,1.0
0 -1 0 1 0 -1 1 -1 1,2,1.0
0 -1 0 1 0 -1 1 -1 1,4,1.2
0 -1 -1 1 1 -1 1 -1 1,0,1.2
0 -1 0 0 0 1 0 0 0,0,1.0
0 -1 0 0 0 1 0 0 0,2,1.0
0 -1 0 0 0 1 0 0 0,3,1.0
0 -1 0 0 0 1 0 0 0,4,1.0
0 -1 0 0 0 1 0 0 0,6,1.0
0 -1 0 0 0 1 0 0 0,7,1.0
0 -1 0 0 0 1 0 0 0,8,1.0
-1 -1 0 0 0 1 0 1 0,2,1.0
-1 -1 0 0 0 1 0 1 0,3,1.0
-1 -1 0 0 0 1 0 1 0,4,1.2
-1 -1 0 0 0 1 0 1 0,6,1.0
-1 -1 0 0 0 1 0 1 0,8,1.0
-1 -1 0 0 1 1 0 1 -1,2,1.2
-1 -1 0 0 1 1 0 1 -1,3,1.0
-1 -1 0 0 1 1 0 1 -1,6,1.0
-1 -1 1 0 1 1 -1 1 -1,3,1.2
0 0 0 0 0 1 0 0 -1,0,1.0
0 0 0 0 0 1 0 0 -1,1,1.0
0 0 0 0 0 1 0 0 -1,2,1.0
0 0 0 0 0 1 0 0 -1,3,1.0
0 0 0 0 0 1 0 0 -1,4,1.0
0 0 0 0 0 1 0 0 -1,6,1.2
0 0 0 0 0 1 0 0 -1,7,1.0
0 0 -1 0 0 1 1 0 -1,0,1.0
0 0 -1 0 0 1 1 0 -1,1,1.0
0 0 -1 0 0 1 1 0 -1,3,1.0
0 0 -1 0 0 1 1 0 -1,4,1.0
0 0 -1 0 0 1 1 0 -1,7,1.2
0 0 -1 -1 0 1 1 1 -1,0,1.0
0 0 -1 -1 0 1 1 1 -1,1,1.0
0 0 -1 -1 0 1 1 1 -1,4,1.2
