0 0 0 0 0 0 0 0 0,0,6.200000000000003
0 0 0 0 0 0 0 0 0,1,15.999999999999975
0 0 0 0 0 0 0 0 0,2,45.60000000000011
0 0 0 0 0 0 0 0 0,3,8.600000000000001
0 0 0 0 0 0 0 0 0,4,18.799999999999965
0 0 0 0 0 0 0 0 0,5,-16.799999999999972
0 0 0 0 0 0 0 0 0,6,4.400000000000001
0 0 0 0 0 0 0 0 0,7,-13.799999999999983
0 0 0 0 0 0 0 0 0,8,128.80000000000123
0 0 0 0 0 -1 1 0 0,0,1.2
0 0 0 0 0 -1 1 0 0,1,1.2
0 0 0 0 0 -1 1 0 0,2,1.0
0 0 0 0 0 -1 1 0 0,3,2.6
0 0 0 0 0 -1 1 0 0,4,0.8
0 0 0 0 0 -1 1 0 0,7,1.0
0 0 0 0 0 -1 1 0 0,8,0.8
0 0 -1 0 0 -1 1 0 1,0,1.0
0 0 -1 0 0 -1 1 0 1,1,1.0
0 0 -1 0 0 -1 1 0 1,3,1.0
0 0 -1 0 0 -1 1 0 1,4,1.7999999999999998
0 0 -1 0 0 -1 1 0 1,7,0.8
0 -1 -1 1 0 -1 1 0 1,0,1.0
0 -1 -1 1 0 -1 1 0 1,4,0.8
0 -1 -1 1 0 -1 1 0 1,7,1.0
0 0 0 0 0 0 0 1 0,0,0.20000000000000007
0 0 0 0 0 0 0 1 0,1,1.5999999999999999
0 0 0 0 0 0 0 1 0,2,21.399999999999956
0 0 0 0 0 0 0 1 0,3,-0.39999999999999997
0 0 0 0 0 0 0 1 0,4,1.9999999999999998
0 0 0 0 0 0 0 1 0,5,5.551115123125783e-17
0 0 0 0 0 0 0 1 0,6,-0.39999999999999997
0 0 0 0 0 0 0 1 0,8,0.8
-1 0 0 0 0 0 0 1 1,1,1.0
-1 0 0 0 0 0 0 1 1,2,1.0
-1 0 0 0 0 0 0 1 1,3,2.1999999999999997
-1 0 0 0 0 0 0 1 1,4,1.2
-1 0 0 0 0 0 0 1 1,5,0.8
-1 0 0 0 0 0 0 1 1,6,1.0
-1 1 0 0 0 -1 0 1 1,2,0.6000000000000001
-1 1 0 0 0 -1 0 1 1,3,1.0
-1 1 0 0 0 -1 0 1 1,4,1.0
-1 1 0 0 0 -1 0 1 1,6,0.6000000000000001
-1 1 1 0 0 -1 -1 1 1,3,1.2
-1 1 1 0 0 -1 -1 1 1,4,0.8
0 -1 0 0 0 0 0 1 0,0,1.0
0 -1 0 0 0 0 0 1 0,2,1.0
0 -1 0 0 0 0 0 1 0,3,1.0
0 -1 0 0 0 0 0 1 0,4,1.0
0 -1 0 0 0 0 0 1 0,5,1.0
0 -1 0 0 0 0 0 1 0,6,1.0
0 -1 0 0 0 0 0 1 0,8,1.7999999999999998
0 -1 0 0 0 0 -1 1 1,0,1.0
0 -1 0 0 0 0 -1 1 1,2,1.5999999999999999
0 -1 0 0 0 0 -1 1 1,3,1.0
0 -1 0 0 0 0 -1 1 1,4,1.0
0 -1 0 0 0 0 -1 1 1,5,1.0
0 -1 1 -1 0 0 -1 1 1,0,1.2
0 -1 1 -1 0 0 -1 1 1,4,1.0
0 -1 1 -1 0 0 -1 1 1,5,1.0
1 -1 1 -1 0 -1 -1 1 1,4,2.1999999999999997
1 0 -1 0 0 0 0 0 0,1,0.6000000000000001
1 0 -1 0 0 0 0 0 0,3,5.400000000000002
1 0 -1 0 0 0 0 0 0,4,5.551115123125783e-17
1 0 -1 0 0 0 0 0 0,5,-0.39999999999999997
1 0 -1 0 0 0 0 0 0,6,0.20000000000000007
1 0 -1 0 0 0 0 0 0,7,0.4000000000000001
1 0 -1 0 0 0 0 0 0,8,-1.4
